# Machine-proposed ingredient aliases — FOR REVIEW ONLY.
# Generated by scripts/propose_aliases.py from the top unresolved names in
# coverage_report.md. Nothing here has been merged into data/aliases.csv or
# the DB — copy the rows you accept into data/aliases.csv yourself (its header
# comment explains that file's format).
#
# confidence: high = alias found verbatim in RXNCONSO.RRF (any vocabulary),
#   sharing an RXCUI with an already-canonical ingredient in the DB — a real
#   data row, not a guess. medium = no RXNCONSO evidence; rests on a known
#   INN/USAN or spelling pair (see DOMAIN_KNOWLEDGE in this script) — verify
#   before trusting. none = checked, nothing usable found either way.
#
# mention_count: how many products/pairs this alias appeared in per
# coverage_report.md — proxy for how much this one row is worth fixing.
alias,proposed_canonical_name,confidence,evidence,mention_count
Paracetamol,acetaminophen,medium,domain_knowledge: known INN/USAN or spelling variant of 'acetaminophen' (not found under any SAB in RXNCONSO — verify before merging),17285
Aceclofenac,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",9000
Domperidone,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",8898
Amoxycillin,amoxicillin,medium,domain_knowledge: known INN/USAN or spelling variant of 'amoxicillin' (not found under any SAB in RXNCONSO — verify before merging),8375
Methylcobalamin,mecobalamin,high,"rxnconso: RXCUI 29421 (SAB=MTHSPL, TTY=SU) matches canonical ingredient 'mecobalamin' (id=4674)",3981
Nimesulide,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",3299
Ornidazole,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",3287
Thiocolchicoside,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",2080
Tazobactum,tazobactam,medium,domain_knowledge: known INN/USAN or spelling variant of 'tazobactam' (not found under any SAB in RXNCONSO — verify before merging),2065
Etoricoxib,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1979
Levosulpiride,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1722
Lactobacillus,,none,"rxnconso: found RXCUI 6204 (SAB=MTHSPL, TTY=SU) but it is not among the ingredients currently loaded — nothing to alias to yet",1470
Nandrolone Decanoate,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1469
Cefoperazone,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1328
Drotaverine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1235
Levosalbutamol,levalbuterol,medium,domain_knowledge: known INN/USAN or spelling variant of 'levalbuterol' (not found under any SAB in RXNCONSO — verify before merging),1077
Voglibose,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1058
Trypsin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1028
Salbutamol,albuterol,medium,domain_knowledge: known INN/USAN or spelling variant of 'albuterol' (not found under any SAB in RXNCONSO — verify before merging),1021
Bromelain,bromelains,high,"rxnconso: RXCUI 1752 (SAB=MTHSPL, TTY=SU) matches canonical ingredient 'bromelains' (id=3626)",1008
Betahistine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",1006
Tricholine Citrate,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",921
Cilnidipine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",871
Teneligliptin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",858
Vildagliptin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",837
Beclometasone,beclomethasone,medium,domain_knowledge: known INN/USAN or spelling variant of 'beclomethasone' (not found under any SAB in RXNCONSO — verify before merging),814
Ursodeoxycholic Acid,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",793
Piracetam,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",780
Gliclazide,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",778
Cloxacillin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",709
Diacerein,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",694
Oxetacaine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",676
Acetylsalicylic acid,aspirin,high,"rxnconso: RXCUI 1191 (SAB=MTHSPL, TTY=SU) matches canonical ingredient 'aspirin' (id=3582)",654
Acebrophylline,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",607
Roxithromycin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",596
Sibutramine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",570
Alimemazine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",562
Doxepin (topical),,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",516
Norfloxacin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",512
Etizolam,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",510
Flunarizine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",473
Tolbutamide,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",461
Picosulfuric acid,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",459
Chlorpropamide,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",449
Lornoxicam,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",440
Indacaterol,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",438
Dicoumarol,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",433
Cinnarizine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",423
Troglitazone,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",422
Tolazamide,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",419
Itopride,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",409
Ethinylestradiol,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",409
Doxorubicin (liposomal),,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",406
Somatotropin,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",405
Methdilazine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",401
Thiethylperazine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",396
Asparaginase Escherichia coli,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",395
Alpha-Beta Arteether,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",387
Mepyramine,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",381
Somatrem,,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",379
"Insulin human (inhalation, rapid acting)",,none,"no_proposal: not found under any SAB in RXNCONSO, no domain-knowledge match — likely a genuinely new ingredient not in RxNorm (e.g. not US-marketed) or needs manual research",375
